sample_id,data_json,metadata_json,mxl_file,pdf_file,title,creator,source_format,key_signatures,time_signatures,tempo,resolution,parts_count,track_cnt
QmbyYbFfrrhakXEEzuTvmxdknsaoiCCGRqGu6xCtVDkWoj,data/1/54/QmbyYbFfrrhakXEEzuTvmxdknsaoiCCGRqGu6xCtVDkWoj.json,,mxl/1/54/QmbyYbFfrrhakXEEzuTvmxdknsaoiCCGRqGu6xCtVDkWoj.mxl,pdf/1/54/QmbyYbFfrrhakXEEzuTvmxdknsaoiCCGRqGu6xCtVDkWoj.pdf,Mischievous Bee; The,,musescore,,6/8,120.0 BPM,480,0,1
QmdqHfspfzoFQT43TxsGVPvnXpo5k5Xzwc3tHMppHGRkqq,data/3/38/QmdqHfspfzoFQT43TxsGVPvnXpo5k5Xzwc3tHMppHGRkqq.json,,mxl/3/38/QmdqHfspfzoFQT43TxsGVPvnXpo5k5Xzwc3tHMppHGRkqq.mxl,pdf/3/38/QmdqHfspfzoFQT43TxsGVPvnXpo5k5Xzwc3tHMppHGRkqq.pdf,Merry Christmas,,musescore,None None,4/4,120.0 BPM; 91.99980000000001 BPM; 160.0002 BPM,480,0,10
QmWp8FehciHdNkPqT65WFrfbfdpJCxXz1MKsMGfYSueKbA,data/14/36/QmWp8FehciHdNkPqT65WFrfbfdpJCxXz1MKsMGfYSueKbA.json,,mxl/14/36/QmWp8FehciHdNkPqT65WFrfbfdpJCxXz1MKsMGfYSueKbA.mxl,pdf/14/36/QmWp8FehciHdNkPqT65WFrfbfdpJCxXz1MKsMGfYSueKbA.pdf,,,musescore,None None; None None; None None; None None,4/4; 4/4; 4/4; 4/4,120.0 BPM; 120.0 BPM; 120.0 BPM; 120.0 BPM; 120.0 BPM; 120.0 BPM; 120.0 BPM; 120.0 BPM,480,0,2
QmR9XUhBU3fsvNXS7mUBFyYTvMzoj3C7BTDAnHXcFx8gm1,data/9/8/QmR9XUhBU3fsvNXS7mUBFyYTvMzoj3C7BTDAnHXcFx8gm1.json,,mxl/9/8/QmR9XUhBU3fsvNXS7mUBFyYTvMzoj3C7BTDAnHXcFx8gm1.mxl,pdf/9/8/QmR9XUhBU3fsvNXS7mUBFyYTvMzoj3C7BTDAnHXcFx8gm1.pdf,President Lincoln's,,musescore,G major; G major,4/4; 4/4,120.0 BPM,480,0,1
QmepgFt4Tr8uuHYvK9HYJa8suf8v9kzy4XDdp5zZE9Njmy,data/4/36/QmepgFt4Tr8uuHYvK9HYJa8suf8v9kzy4XDdp5zZE9Njmy.json,,mxl/4/36/QmepgFt4Tr8uuHYvK9HYJa8suf8v9kzy4XDdp5zZE9Njmy.mxl,pdf/4/36/QmepgFt4Tr8uuHYvK9HYJa8suf8v9kzy4XDdp5zZE9Njmy.pdf,Father Kelly's,,musescore,,4/4; 4/4,120.0 BPM,480,0,1
QmTaHMhpXCZzYAsGMs1KnNnhLWt5HbUBgA5QRTbuu8qx1Q,data/11/9/QmTaHMhpXCZzYAsGMs1KnNnhLWt5HbUBgA5QRTbuu8qx1Q.json,,mxl/11/9/QmTaHMhpXCZzYAsGMs1KnNnhLWt5HbUBgA5QRTbuu8qx1Q.mxl,pdf/11/9/QmTaHMhpXCZzYAsGMs1KnNnhLWt5HbUBgA5QRTbuu8qx1Q.pdf,The Internationale,Pierre Degeyter,musescore,None None,4/4,102.0 BPM; 102.0 BPM; 102.0 BPM; 102.0 BPM; 102.0 BPM; 60.0 BPM,480,0,5
QmYSvFvFV6NzXTTQu9PKw1nSxqpwJiykfEVd3iexZTzqys,data/16/43/QmYSvFvFV6NzXTTQu9PKw1nSxqpwJiykfEVd3iexZTzqys.json,,mxl/16/43/QmYSvFvFV6NzXTTQu9PKw1nSxqpwJiykfEVd3iexZTzqys.mxl,pdf/16/43/QmYSvFvFV6NzXTTQu9PKw1nSxqpwJiykfEVd3iexZTzqys.pdf,Ye glittering toys of earth; adieu,Thomas Clark; p50; A Fifth Set of Psalm and Hymn Tunes; London: [c1809],musescore,G major,4/4,120.0 BPM,480,0,4
QmW6zN97vgrDxyMMypyjYW4rH8GMRnvwG5ixJKQt6uHkgh,data/14/5/QmW6zN97vgrDxyMMypyjYW4rH8GMRnvwG5ixJKQt6uHkgh.json,,mxl/14/5/QmW6zN97vgrDxyMMypyjYW4rH8GMRnvwG5ixJKQt6uHkgh.mxl,pdf/14/5/QmW6zN97vgrDxyMMypyjYW4rH8GMRnvwG5ixJKQt6uHkgh.pdf,Lady Carmichael of Castle Craig's Strathspey,John Gow (1764-1826),musescore,,4/4; 4/4,120.0 BPM,480,0,1
QmU4VaVb5X3ydZQRF4YYpUKxJCVAf9d3LU3aDu4QeaaFjk,data/12/3/QmU4VaVb5X3ydZQRF4YYpUKxJCVAf9d3LU3aDu4QeaaFjk.json,,mxl/12/3/QmU4VaVb5X3ydZQRF4YYpUKxJCVAf9d3LU3aDu4QeaaFjk.mxl,pdf/12/3/QmU4VaVb5X3ydZQRF4YYpUKxJCVAf9d3LU3aDu4QeaaFjk.pdf,,,musescore,None None,4/4,169.9998 BPM,480,0,2
QmTnsXbVQyCPLKaJMTYdSDYuNru8NikZHe6vPu3vUz36oj,data/11/33/QmTnsXbVQyCPLKaJMTYdSDYuNru8NikZHe6vPu3vUz36oj.json,,mxl/11/33/QmTnsXbVQyCPLKaJMTYdSDYuNru8NikZHe6vPu3vUz36oj.mxl,pdf/11/33/QmTnsXbVQyCPLKaJMTYdSDYuNru8NikZHe6vPu3vUz36oj.pdf,Where the Southern Crosses the Dog,,musescore,,2/2,120.0 BPM,480,0,1
